host_id,host_name,listing_count,average_price
1430589,Diederik,1,327.0
1435339,Peter,2,213.0
1435679,Anouk Isabelle,1,274.0
1436134,Veronica,1,
1439649,Mathilda,1,187.0
1448980,Laila,1,140.0
1451657,Marco,1,1036.0
1453893,Oleg,1,
1458717,Stephanie & Sebastian,1,81.0
1465500,Ronit,1,146.0
1469403,Gijs,1,277.0
1471928,Bora,1,198.0
1477191,Claudia,1,
1480859,Mervi,1,120.0
1487220,Uros,2,443.0
1488099,Rudi,1,
1491426,Merlijn,1,
1491565,David,2,184.0
1492408,Cherry,1,97.0
1511330,Ton,1,141.0
1512673,Lenny,1,174.0
1515957,Janüska,1,541.0
1516725,Kathryn,1,
1522654,Jim,1,298.0
1526936,Eva,1,
1527931,Saskia,1,147.0
1539253,Jacob,1,
1542875,Frederike,1,
1552059,Ruben Robert,1,109.0
1553942,Jelle,1,413.0
1556618,Kim,1,
1557835,Lenneke,2,163.0
1562146,Koen,1,1995.0
1573012,Caroline,1,144.0
1582128,Jorn,2,948.0
1591245,Mirjam,1,602.0
1600010,Anke & Robert,1,325.0
1605431,Mareike,1,
1610324,Ayla & Jake,1,188.0
1612893,Nina,1,
1619130,Laurens,1,113.0
1626796,Sophie,1,
1637104,Saskia,1,209.0
1640702,J,1,238.0
1642778,Ketty,1,155.0
1645998,Djoke,1,630.0
1646176,Froukje,1,223.0
1657181,Charlie,1,
1657577,Hendrik,1,
1663866,Charlotta,1,207.0
1672823,Ester,1,
1687595,Sebastiaan,1,275.0
1687684,Naomi,1,
1729553,Emma,1,252.0
1739437,Nina,1,
1740785,Rob & Fang,1,104.0
1751718,Nicolette,1,256.0
1759884,Ivan,2,290.0
1759888,Martinus,1,
1778815,Niels Jochem,1,598.0
1784454,Hendriek,1,
1791317,Robert,1,1341.0
1793657,Julie,1,206.0
1810374,Merel,1,
1811745,Marre,1,
1817922,Fabrizio,1,271.0
1824506,Amsterdam Canal Guest Apartment,1,182.0
1826139,Esther & Jan,1,316.0
1830475,Kees,1,272.0
1831512,Vanya,1,405.0
1849155,Esther,1,192.0
1849988,Nicolet,1,147.0
1851673,C,1,
1853421,Marijn,1,299.0
1855417,Maarten,1,217.0
1864193,Suus@Wally,1,225.0
1870324,Edward,1,480.0
1878547,Matthijs,1,405.0
1897817,Anca And Denis,1,122.0
1899420,Rosie,2,77.5
1899894,Anna,1,
1902079,Martijn,1,225.0
1907015,Masha,1,228.0
1915653,Ingrid,1,
1917728,Victor,1,
1924176,Ana,1,
1930105,Roel,1,
1932863,Tamilla,1,215.0
1939922,Hannes,1,63.0
1942203,Jena,1,
