neighbourhood_cleansed,listing_count,avg_price,avg_rating,avg_occupancy
Slotervaart,206,193.24,4.88,0.82
De Aker - Nieuw Sloten,67,185.71,4.86,0.71
Noord-Oost,188,191.05,4.86,0.73
Noord-West,298,196.99,4.86,0.75
Oostelijk Havengebied - Indische Buurt,436,216.6,4.86,0.8
Osdorp,57,168.62,4.86,0.69
